source,destination,matching,type,status
250m-asset-manager-on-morgan-stanley-bitcoin-etf-impact/,https://bitcoininfonews.com/exclusive-250m-asset-manager-morgan-stanley-bitcoin-etf-impact/,exact,301,active
341m-crypto-liquidations-hit-shorts-in-24-hours/,https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/,exact,301,active
aave-stablecoin-yields-beat-banks-trail-the-fed/,https://bitcoininfonews.com/aave-stablecoin-yields-beat-banks-trail-fed/,exact,301,active
best-crypto-casinos-of-2026-spartans-stake-bitcasino-io-rollbit-redefine-online-gambling/,https://bitcoininfonews.com/best-crypto-casinos-of-2026-spartans-stake-bitcasino-io-and-amp-rollbit-redefine-online-gambling/,exact,301,active
bitcoin-70k-ethereum-buy-zone-sec-crypto-framework-weekend-roundup/,https://bitcoininfonews.com/bitcoin-70000-ethereum-buy-zone-sec-crypto-framework-weekend-roundup/,exact,301,active
bitcoin-etf-inflows-march/,https://bitcoininfonews.com/bitcoin-eth-sol-etf-inflows-march/,exact,301,active
bitcoin-etf-multiplier-effect-cory-klippsten-btc/,https://bitcoininfonews.com/bitcoin-etf-multiplier-effect-cory-klippsten/,exact,301,active
bitcoin-etf-outflows-risk-assets-sell-off/,https://bitcoininfonews.com/bitcoin-etf-outflows-us-stock-etfs-risk-assets-sell-off/,exact,301,active
bitcoin-falls-below-69000-down-1-27-on-the-day/,https://bitcoininfonews.com/bitcoin-falls-below-69000-down-1-27-percent/,exact,301,active
bitcoin-up-6-percent-75000-ether-xrp-rally/,https://bitcoininfonews.com/why-bitcoin-suddenly-up-6-percent-75000-ether-xrp-rally/,exact,301,active
bitmax-denies-selling-bitcoin-overseas-transfers-security-measure/,https://bitcoininfonews.com/bitmax-denies-selling-bitcoin-overseas-exchange-transfers-security/,exact,301,active
blackrock-deposits-47728-eth-and-544-btc-into-coinbase-prime/,https://bitcoininfonews.com/blackrock-deposits-47728-eth-544-btc-coinbase-prime/,exact,301,active
blackrock-deposits-eth-btc-coinbase-prime/,https://bitcoininfonews.com/blackrock-deposits-47728-eth-544-btc-coinbase-prime/,exact,301,active
blockdag-trademay30-code-cardano-crypto-stability-hyperliquid-coin-trend/,https://bitcoininfonews.com/blockdag-drops-trademay30-code-for-early-supporters-more-updates-on-cardano-crypto-stability-hyperliquid-coin-trend/,exact,301,active
buyers-rush-to-secure-blockdag-at-0-0000061-while-hyperliquid-battles-35-floor-monero-eyes-upside/,https://bitcoininfonews.com/buyers-rush-to-secure-blockdag-at-0-0000061-while-hyperliquid-battles-35-floor-and-monero-eyes-upside/,exact,301,active
bydfi-expands-european-reach-next-block-expo-2026-warsaw/,https://bitcoininfonews.com/bydfi-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw/,exact,301,active
bydfis-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw/,https://bitcoininfonews.com/bydfi-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw/,exact,301,active
citibank-hong-kong-stablecoin-market-hk124-8-billion/,https://bitcoininfonews.com/citibank-hong-kong-stablecoin-market-hk124-billion/,exact,301,active
crypto-first-quarter-profit-squeeze-warning-coinbase-robinhood-figure/,https://bitcoininfonews.com/crypto-first-quarter-profit-squeeze-bernstein-coinbase-robinhood-figure/,exact,301,active
drift-protocol-exploit-285m-stolen-solana/,https://bitcoininfonews.com/drift-protocol-exploit-solana-285m-stolen/,exact,301,active
drift-protocol-exploit-sees-285m-stolen-on-solana/,https://bitcoininfonews.com/drift-protocol-exploit-solana-285m-stolen/,exact,301,active
drift-protocol-hack-sparks-iou-airdrop-backlash/,https://bitcoininfonews.com/drift-protocol-hack-iou-airdrop-backlash/,exact,301,active
ethereum-crypto-early-strength-over-bitcoin-q2-shift-momentum/,https://bitcoininfonews.com/ethereum-crypto-shows-early-strength-over-bitcoin-why-q2-could-shift-momentum/,exact,301,active
ethereum-spot-etf-55-million-net-outflow/,https://bitcoininfonews.com/ethereum-spot-etf-net-outflow-55-million/,exact,301,active
exclusive-250m-asset-manager-on-morgan-stanley-bitcoin-etf-impact/,https://bitcoininfonews.com/exclusive-250m-asset-manager-morgan-stanley-bitcoin-etf-impact/,exact,301,active
fed-chair-nominee-kevin-warsh-has-crypto-exposure-in-portfolio/,https://bitcoininfonews.com/fed-chair-nominee-kevin-warsh-crypto-exposure-portfolio/,exact,301,active
forget-xrp-forecasts-delusional-crowd-last-laugh/,https://bitcoininfonews.com/forget-xrp-forecasts-delusional-crowd-could-have-last-laugh/,exact,301,active
forget-xrp-forecasts-why-the-delusional-crowd-could-have-the-last-laugh/,https://bitcoininfonews.com/forget-xrp-forecasts-delusional-crowd-could-have-last-laugh/,exact,301,active
ftc-us-citizens-lose-3-5b-to-imposter-scams-in-one-year/,https://bitcoininfonews.com/ftc-us-citizens-residents-lose-3-5-billion-imposter-scams-one-year/,exact,301,active
i-switched-from-bank-app-to-binance-main-wallet/,https://bitcoininfonews.com/switched-bank-app-to-binance-main-wallet/,exact,301,active
interactive-brokers-crypto-trading-expands-to-europe/,https://bitcoininfonews.com/interactive-brokers-crypto-trading-europe/,exact,301,active
jpmorgan-bitcoin-outperformed-gold-during-iran-war-acting-as-safe-haven-asset/,https://bitcoininfonews.com/jpmorgan-bitcoin-outperformed-gold-iran-war-safe-haven-asset/,exact,301,active
justin-sun-slams-trump-backed-wlfi-after-75m-defi-loan/,https://bitcoininfonews.com/justin-sun-slams-trump-backed-wlfi-after-75-million-defi-loan/,exact,301,active
lido-responds-resolv-labs-vulnerability-attack-user-funds-safe/,https://bitcoininfonews.com/lido-responds-resolv-labs-vulnerability-user-funds-safe/,exact,301,active
lucky-independent-bitcoin-miner-nets-210000-btc-reward/,https://bitcoininfonews.com/lucky-independent-bitcoin-miner-210000-btc-reward/,exact,301,active
major-update-approved-surprise-altcoin-changes-coming/,https://bitcoininfonews.com/major-update-approved-surprise-altcoin-changes/,exact,301,active
morgan-stanley-bitcoin-etf-draws-34m-on-day-one-as-fee-pressure-mounts/,https://bitcoininfonews.com/morgan-stanley-bitcoin-etf-draws-34m-day-one-fee-pressure-builds/,exact,301,active
morgan-stanley-bitcoin-etf-launches-wednesday/,https://bitcoininfonews.com/morgan-stanley-bitcoin-etf-launch-wednesday/,exact,301,active
morgan-stanley-bitcoin-etf-posts-top-1-debut/,https://bitcoininfonews.com/morgan-stanley-bitcoin-etf-top-1-debut/,exact,301,active
morgan-stanley-bitcoin-fund-tops-wisdomtree-volume/,https://bitcoininfonews.com/morgan-stanley-bitcoin-fund-wisdomtree-volume/,exact,301,active
next-altcoin-to-10x-is-it-hype-link-ondo-or-avax/,https://bitcoininfonews.com/next-altcoin-to-10x-hype-link-ondo-avax/,exact,301,active
nyse-cpo-blockchain-integrate-existing-systems/,https://bitcoininfonews.com/nyse-cpo-blockchain-integration-existing-systems/,exact,301,active
okx-singapore-stablecoin-visa-debit-card/,https://bitcoininfonews.com/okx-singapore-launches-stablecoin-funded-visa-debit-card/,exact,301,active
ondo-finance-tokenized-shares-bitget-spot-trading/,https://bitcoininfonews.com/ondo-tokenized-shares-bitget-spot-trading/,exact,301,active
one-of-a-kind-mansory-jesko-is-shifting-the-elite-player-base-from-winna-sportsbet-io-to-spartans-com/,https://bitcoininfonews.com/one-of-a-kind-mansory-jesko-is-shifting-the-elite-player-base-from-winna-and-amp-sportsbet-io-to-spartans-com/,exact,301,active
opensea-delays-sea-token-launch-as-nft-market-slump-deepens/,https://bitcoininfonews.com/opensea-delays-sea-token-launch-nft-market-slump/,exact,301,active
plubit-targets-trader-survival-with-new-exchange-model/,https://bitcoininfonews.com/plubit-targets-trader-survival-new-exchange-model/,exact,301,active
plubit-trader-survival-exchange-model/,https://bitcoininfonews.com/plubit-targets-trader-survival-new-exchange-model/,exact,301,active
polygon-launches-spol-liquid-staking-token-unlock-native-defi/,https://bitcoininfonews.com/polygon-launches-spol-liquid-staking-token-to-unlock-native-defi/,exact,301,active
polymarket-acquires-brahma-boost-defi-infrastructure-trading-performance/,https://bitcoininfonews.com/polymarket-acquires-brahma-defi-infrastructure-trading-performance/,exact,301,active
polymarket-acquires-brahma-to-boost-defi-infrastructure-and-trading-performance/,https://bitcoininfonews.com/polymarket-acquires-brahma-defi-infrastructure-trading-performance/,exact,301,active
post-ceasefire-crypto-outlook-hangover-or-buying-opportunity/,https://bitcoininfonews.com/post-ceasefire-crypto-outlook-buying-opportunity/,exact,301,active
ripple-tests-rlusd-automated-settlement-for-cross-border-trade-in-singapore-sandbox/,https://bitcoininfonews.com/ripple-rlusd-automated-settlement-cross-border-trade-singapore-sandbox/,exact,301,active
ripple-treasury-brings-xrp-and-rlusd-into-corporate-finance/,https://bitcoininfonews.com/ripple-treasury-xrp-rlusd-corporate-finance/,exact,301,active
russia-moves-to-corral-crypto-trading-punishing-retail-investors/,https://bitcoininfonews.com/russia-moves-to-corral-crypto-trading-punishing-retail/,exact,301,active
russia-to-admit-bitcoin-ethereum-and-solana-to-its-crypto-market/,https://bitcoininfonews.com/russia-admit-bitcoin-ethereum-solana-crypto-market/,exact,301,active
santiment-whale-and-shark-addresses-add-61000-btc/,https://bitcoininfonews.com/santiment-whale-shark-addresses-added-61000-btc/,exact,301,active
santiment-whale-shark-addresses-add-61000-btc/,https://bitcoininfonews.com/santiment-whale-shark-addresses-added-61000-btc/,exact,301,active
schwab-plans-spot-bitcoin-ether-trading-launch-in-first-half-of-2026/,https://bitcoininfonews.com/schwab-plans-spot-bitcoin-ether-trading-launch-first-half-2026/,exact,301,active
sec-and-cftc-issue-new-guidelines-for-crypto-interfaces/,https://bitcoininfonews.com/sec-cftc-new-guidelines-crypto-interfaces/,exact,301,active
sec-approves-nasdaq-tokenized-settlement-pilot/,https://bitcoininfonews.com/sec-nasdaq-tokenized-settlement-pilot/,exact,301,active
sec-cftc-joint-crypto-regulations-take-effect-monday/,https://bitcoininfonews.com/sec-cftc-joint-crypto-regulations-take-effect/,exact,301,active
sec-crypto-enforcement-cases-investor-protection/,https://bitcoininfonews.com/sec-some-crypto-enforcement-cases-fail-to-deliver-investor-protection/,exact,301,active
sec-to-consider-most-crypto-assets-not-securities-under-federal-law/,https://bitcoininfonews.com/sec-consider-most-crypto-assets-not-securities-federal-law/,exact,301,active
secure-95x-instant-roi-with-blockdags-limited-time-0-0000061-offer-xrp-eyes-enterprise-growth-shib-dips-2/,https://bitcoininfonews.com/secure-95x-instant-roi-with-blockdag-s-limited-time-0-0000061-offer-xrp-eyes-enterprise-growth-and-shib-dips/,exact,301,active
secure-95x-instant-roi-with-blockdags-limited-time-0-0000061-offer-xrp-eyes-enterprise-growth-shib-dips/,https://bitcoininfonews.com/secure-95x-instant-roi-with-blockdag-s-limited-time-0-0000061-offer-xrp-eyes-enterprise-growth-and-shib-dips/,exact,301,active
senate-banking-committee-to-consider-warsh-for-fed-chair-on-april-16/,https://bitcoininfonews.com/senate-banking-committee-warsh-fed-chair-april-16/,exact,301,active
senator-warren-trump-federal-reserve-rate-cuts/,https://bitcoininfonews.com/senator-warren-trump-obstructing-federal-reserve-interest-rate-cuts/,exact,301,active
senators-revised-stablecoin-earnings-draft-crypto-market-structure/,https://bitcoininfonews.com/senators-revised-stablecoin-earnings-draft-could-reshape-crypto-market-structure/,exact,301,active
shiba-inu-golden-cross-xrp-payments-jump-410-btc-whale-moves-74m/,https://bitcoininfonews.com/shiba-inu-golden-cross-xrp-payments-410-btc-whale-74m/,exact,301,active
small-altcoin-doubles-market-cap-binance-futures-hashkey/,https://bitcoininfonews.com/altcoin-doubles-market-cap-binance-futures-hashkey-listing/,exact,301,active
solana-dapp-revenue-hits-18-month-low-as-sol-price-risks-80-retest/,https://bitcoininfonews.com/solana-dapp-revenue-18-month-low-sol-price-80-retest/,exact,301,active
solana-usd-faces-downturn-as-network-fud-sparks-70-fears/,https://bitcoininfonews.com/solana-usd-faces-downturn-network-fud-sparks-70-fears/,exact,301,active
spartans-com-counts-down-to-august-1-global-launch-as-flutter-posts-a-310m-net-loss-bet365-sees-profit-fall-44/,https://bitcoininfonews.com/spartans-com-counts-down-to-august-1-global-launch-as-flutter-posts-a-310m-net-loss-and-amp-bet365-sees-profit-fall-44/,exact,301,active
spartans-com-launches-worlds-first-7m-leaderboard-a-new-case-for-the-best-online-casino-title/,https://bitcoininfonews.com/spartans-com-launches-world-s-first-7m-leaderboard-a-new-case-for-the-best-online-casino-title/,exact,301,active
starknet-leads-layer-2-developer-activity-in-ethereum-scaling-race/,https://bitcoininfonews.com/starknet-leads-layer-2-developer-activity-ethereum-scaling-race/,exact,301,active
strive-tuttle-leveraged-bitcoin-etf/,https://bitcoininfonews.com/strive-tuttle-file-leveraged-bitcoin-etf/,exact,301,active
subversive-bitcoin-spac-files-with-sec-to-go-public/,https://bitcoininfonews.com/subversive-bitcoin-spac-registers-sec-go-public/,exact,301,active
t-rowe-price-crypto-etf-tradfi-fomo-inflow-surge/,https://bitcoininfonews.com/t-rowe-price-crypto-etf-update-tradfi-inflow-surge/,exact,301,active
trader-280-btc-long-40x-leverage-partially-liquidated/,https://bitcoininfonews.com/trader-280-btc-40x-leverage-partially-liquidated/,exact,301,active
trading-expert-sets-date-when-bitcoin-will-hit-100000/,https://bitcoininfonews.com/trading-expert-sets-date-bitcoin-will-hit-100000/,exact,301,active
trump-fed-pick-kevin-warsh-discloses-spacex-polymarket-and-solana-holdings/,https://bitcoininfonews.com/trump-fed-pick-kevin-warsh-spacex-polymarket-solana-holdings/,exact,301,active
trump-fed-pick-kevin-warsh-discloses-spacex-polymarket-solana-holdings/,https://bitcoininfonews.com/trump-fed-pick-kevin-warsh-spacex-polymarket-solana-holdings/,exact,301,active
trump-jobs-report-update-vs-bitcoins-worst-retail-participation/,https://bitcoininfonews.com/trump-jobs-report-update-vs-bitcoin-worst-retail-participation/,exact,301,active
trump-to-end-2-week-iran-ceasefire-crypto-prediction-market-signals-odds/,https://bitcoininfonews.com/trump-end-2-week-iran-ceasefire-crypto-prediction-market/,exact,301,active
trump-white-house-stablecoin-yield-clarity-act-standoff/,https://bitcoininfonews.com/trump-white-house-dismisses-stablecoin-yield-headache-clarity-act-standoff/,exact,301,active
trumps-insider-109m-short-is-crypto-crashing-again/,https://bitcoininfonews.com/trumps-insider-109m-short-crypto-market-crashing-again/,exact,301,active
uk-fca-seeks-feedback-on-crypto-guidance-ahead-of-2027-rollout/,https://bitcoininfonews.com/uk-fca-seeks-feedback-on-guidance-for-crypto-rules-ahead-of-2027-rollout/,exact,301,active
us-attorney-recovers-600k-in-ledger-wallet-crypto-fraud-case/,https://bitcoininfonews.com/us-attorney-recovers-600k-ledger-wallet-crypto-fraud-scheme/,exact,301,active
us-attorney-recovers-600k-ledger-wallet-crypto-fraud-case/,https://bitcoininfonews.com/us-attorney-recovers-600k-ledger-wallet-crypto-fraud-scheme/,exact,301,active
us-opens-10t-retirement-market-to-crypto-can-bitcoin-benefit/,https://bitcoininfonews.com/us-opens-10t-retirement-market-to-crypto-can-bitcoin-btc-really-benefit/,exact,301,active
us-sol-spot-etf-single-day-net-inflow/,https://bitcoininfonews.com/us-sol-spot-etf-net-inflow-4-64-million-single-day/,exact,301,active
usdt0-launches-tempo-payment-chain-live-23-networks/,https://bitcoininfonews.com/usdt0-launches-tempo-payment-chain-23-networks/,exact,301,active
veteran-financier-recommends-20-crypto-allocation-bitcoin-71k/,https://bitcoininfonews.com/veteran-financier-20-percent-crypto-allocation-bitcoin-71k/,exact,301,active
veteran-financier-recommends-20-percent-crypto-allocation-bitcoin-71k/,https://bitcoininfonews.com/veteran-financier-20-percent-crypto-allocation-bitcoin-71k/,exact,301,active
visa-crypto-head-us-banks-usdc-solana/,https://bitcoininfonews.com/visa-crypto-head-usdc-settlements-solana-us-banks/,exact,301,active
visa-launches-on-the-tempo-blockchain-as-anchor-validator/,https://bitcoininfonews.com/visa-launches-on-the-tempo-blockchain-as-an-anchor-validator/,exact,301,active
wall-street-giants-are-launching-bitcoin-etfs-and-its-just-getting-started/,https://bitcoininfonews.com/wall-street-giants-launching-bitcoin-etfs-just-getting-started/,exact,301,active
weekly-recap-of-bitcoin-ethereum-solana-and-xrp-etf-performance/,https://bitcoininfonews.com/weekly-recap-bitcoin-ethereum-solana-xrp-etf-performance/,exact,301,active
weekly-roundup-04-03-26-quantum-papers-drift-hack-salvage-law/,https://bitcoininfonews.com/weekly-roundup-04-03-26-quantum-papers-drift-hack-maritime-salvage-law-ep-711/,exact,301,active
when-will-the-bitcoin-bull-run-start-analyst-markers-to-watch/,https://bitcoininfonews.com/when-will-the-bitcoin-bull-run-start-analyst-markers/,exact,301,active
where-next-for-bitcoin-after-its-worst-quarter-since-2018/,https://bitcoininfonews.com/where-next-for-bitcoin-after-worst-quarter-since-2018/,exact,301,active
white-house-signals-breakthrough-clarity-act-stablecoin-rules/,https://bitcoininfonews.com/white-house-signals-breakthrough-clarity-act-federal-stablecoin-floor/,exact,301,active
why-bitcoin-is-up-6-at-75000-as-ether-and-xrp-rally/,https://bitcoininfonews.com/why-bitcoin-suddenly-up-6-percent-75000-ether-xrp-rally/,exact,301,active
why-morgan-stanley-launched-the-cheapest-bitcoin-etf/,https://bitcoininfonews.com/why-morgan-stanley-launched-cheapest-bitcoin-etf/,exact,301,active
why-smaller-crypto-companies-are-struggling-under-mica-in-europe/,https://bitcoininfonews.com/why-smaller-crypto-companies-are-struggling-under-mica/,exact,301,active
xrp-all-time-high-3-technicals-align/,https://bitcoininfonews.com/xrp-all-time-high-in-sight-3-technicals-align/,exact,301,active
xrp-all-time-high-in-sight-as-3-technicals-align/,https://bitcoininfonews.com/xrp-all-time-high-in-sight-3-technicals-align/,exact,301,active
xrp-commodity-status-etf-momentum-5-5,https://bitcoininfonews.com/xrp-commodity-status-etf-momentum-price-target-5-5/,exact,301,active
xrp-could-be-the-hidden-beneficiary-of-fednow-expansion/,https://bitcoininfonews.com/xrp-hidden-beneficiary-fednow-expansion/,exact,301,active
xrp-debate-returns-david-schwartz-clarifies-value-dynamics/,https://bitcoininfonews.com/xrp-debate-david-schwartz-clarifies-value-dynamics/,exact,301,active
xrp-derivatives-market-shrinks-78-from-peak/,https://bitcoininfonews.com/xrp-derivatives-market-shrinks-by-78-from-octobers-peak/,exact,301,active
xrp-gains-strength-as-exchange-reserves-drop-1-40-in-focus/,https://bitcoininfonews.com/xrp-gains-strength-exchange-reserves-drop-1-40-focus/,exact,301,active
xrp-ledger-active-addresses-drop-41-santiment/,https://bitcoininfonews.com/xrp-ledger-active-addresses-down-41-santiment/,exact,301,active
xrp-ledger-stops-spoofing-botnets-on-xrp-rlusd-pair/,https://bitcoininfonews.com/xrp-ledger-stops-spoofing-botnets-xrp-rlusd-pair/,exact,301,active
xrp-price-falls-ripple-sec-settlement/,https://bitcoininfonews.com/xrp-price-falters-ripple-sec-settlement/,exact,301,active
xrp-price-prediction-whale-scoops-20m-coins-1-27-1-35-in-focus/,https://bitcoininfonews.com/xrp-price-prediction-whale-scoops-20m-coins-1-27-1-35-levels-light-up/,exact,301,active
xrp-slips-4-as-selling-pressure-builds-despite-etf-inflows/,https://bitcoininfonews.com/xrp-slips-4-selling-pressure-builds-despite-etf-inflows/,exact,301,active
xrp-spot-etf-data-released-1-billion-xrp-target/,https://bitcoininfonews.com/xrp-spot-etf-data-1-billion-xrp-target/,exact,301,active
xrps-next-move-price-structure-and-the-regulatory-catalyst-ahead/,https://bitcoininfonews.com/xrps-next-move-price-structure-regulatory-catalyst/,exact,301,active
zoomex-launches-150000-btc-airdrop-campaign-for-new-users/,https://bitcoininfonews.com/zoomex-launches-150000-btc-airdrop-campaign/,exact,301,active
