keyword,intent,url,priority_bucket,recommendation,why_it_has_potential,title_direction,h1_direction,content_direction
vitalik buterin networth,I,https://coincu.com/crypto-millionaire/vitalik-buterin-net-worth-2024-update/,high,keep_and_expand,"Strong crypto-native entity, high topical fit, evergreen demand, and supports authority for crypto-people cluster.","Use a current-year title with data freshness and methodology, e.g. Vitalik Buterin Net Worth in 2026: Holdings, ETH Exposure, and Wealth Breakdown.","Match the title closely and promise a transparent estimate with sources.","Add holdings breakdown, on-chain or public source references, methodology, timeline of wealth creation, and internal links to Ethereum coverage."
jack mallers net worth,I,https://coincu.com/crypto-millionaire/jack-mallers-net-worth/,high,keep_and_expand,"Direct Bitcoin relevance, founder-level entity, and strong fit for crypto audience.","Frame around Strike, Bitcoin payments, and wealth sources instead of generic biography.","Make the H1 explicitly about Jack Mallers net worth and how it is estimated.","Add company equity context, public interviews, funding history, and why crypto readers should care."
balaji srinivasan net worth,CI,https://coincu.com/crypto-millionaire/balaji-srinivasan-net-worth/,high,keep_and_expand,"Strong crypto founder-investor authority signal and useful for audience interested in influential builders.","Position as Balaji Srinivasan net worth plus portfolio and crypto influence.","Keep the H1 tightly aligned to the query while hinting at holdings or influence.","Add founder history, venture exposure, book/media influence, portfolio context, and link to related founder profiles."
what is walrus protocol,I,https://coincu.com/other-reviews/walrus-protocol-review-scalable-secure-and-cost-efficient-solution-for-blockchain-storage/,high,rewrite_for_intent,"Protocol explainer intent fits Coincu better than generic review framing and can build evergreen topical authority.","Shift title toward explainer intent, e.g. What Is Walrus Protocol? Architecture, Use Cases, and Risks.","Use an H1 that starts with What Is Walrus Protocol and then expands into what users need to know.","Restructure around definition, problem solved, architecture, token or economic model, competitors, and risks."
kaito ai,I,https://coincu.com/other-reviews/what-is-kaito-ai-ai-powered-research-web3/,high,keep_and_optimize,"Web3 research tool query is crypto-native and strong for explainer plus tool-review hybrid intent.","Lead with What Is Kaito AI? and secondary promise around use cases for crypto research.","Use a direct H1 with the primary query plus a short value proposition.","Add product screenshots, pricing, who it is for, workflow examples, and comparisons with competing research tools."
rabby wallet review,CI,https://coincu.com/other-reviews/rabby-wallet-review-the-game-changing-wallet/,high,keep_and_expand,"Wallet review intent is highly relevant and can convert well for crypto audience.","Use a review title that emphasizes setup, safety, supported chains, and real pros/cons.","Keep the H1 query-exact and avoid hype language.","Add hands-on experience, wallet setup flow, security model, supported ecosystems, and comparison with MetaMask."
raydium crypto,N,https://coincu.com/defi-reviews/raydium-review-the-best-liquidity/,high,rewrite_for_entity_intent,"Raydium is a strong crypto-native entity; current title looks promotional and not tightly matched to query intent.","Retitle toward Raydium review or What Is Raydium with DEX, liquidity, and risks in the promise.","Use an H1 that clearly explains whether the page is a review or explainer.","Add protocol overview, token utility, Solana ecosystem role, fees, LP risks, and direct comparisons."
buy bitcoin with visa gift card,I,https://coincu.com/knowledge/how-to-buy-bitcoin-with-visa-gift-cards/,high,keep_and_optimize,"High-intent practical query, useful for readers, and stronger than generic traffic grabs if the article is genuinely actionable.","Use a how-to title that promises legality, steps, fees, and risks.","Keep the H1 close to the query and make the promise procedural.","Include step-by-step instructions, country or compliance caveats, fees, scams to avoid, and screenshots."
pi network binance listing,IT,https://coincu.com/news/binance-to-vote-on-pi-network-token-listing/,high,refresh_news_if_still_relevant,"Entity-driven news query can spike when refreshed quickly and can capture current-intent demand.","Use a current-status news title rather than speculative framing once facts are known.","Make the H1 answer the listing status directly.","Update immediately when status changes, add timeline, source links, and clear confirmed versus unconfirmed sections."
bitcoin etf list,I,https://coincu.com/knowledge/top-bitcoin-etfs-by-total-aum/,high,keep_and_expand,"Evergreen financial query with strong crypto-investor relevance and room for structured data tables.","Use a title focused on Bitcoin ETF list, AUM, fees, and latest update date.","Use an H1 that makes the page obviously a list and comparison resource.","Add sortable tables, issuer, fee, AUM, inflow data, methodology, and regular update timestamps."
digital asset clarity act,I,https://coincu.com/news/digital-assets-face-rules-as-clarity-act-eyes-banks/,medium,refresh_and_retarget,"Regulation news can earn traffic if the article answers the law-specific query more directly.","Retitle to put the act name first and summarize the concrete rule change.","Use the H1 to answer what the act is and why it matters for crypto firms or banks.","Add plain-English summary, timeline, stakeholders, likely market impact, and official source links."
moody's stablecoin,I,https://coincu.com/moodys-stablecoin-rating-framework/,medium,keep_and_optimize,"Institutional stablecoin framework query is on-topic and can support regulation and risk-analysis clusters.","Use a title centered on Moody's stablecoin framework and what it means for issuers and investors.","Keep H1 aligned with the framework query rather than generic commentary.","Explain the framework, criteria used, why it matters, and which stablecoins may be affected."
len sassaman satoshi,I,https://coincu.com/knowledge/len-sassaman-suspected-to-be-satoshi/,medium,keep_and_optimize,"Crypto-history query fits audience but needs careful sourcing and evidence framing.","Use a title that signals theory review rather than certainty.","Keep H1 tightly aligned to the query and avoid overclaiming.","Structure as evidence for, evidence against, what is verified, and why the theory persists."
monad token airdrop,I,https://coincu.com/airdrop/what-is-monad-easy-steps-to-get-the-mon-airdrop/,medium,keep_and_expand,"Airdrop intent can drive traffic if the guide is accurate, timely, and clearly separated from speculation.","Use a title that emphasizes eligibility, steps, deadline, and risk of unofficial tasks.","Keep H1 focused on Monad airdrop guide intent.","Add eligibility criteria, official links, wallet steps, risk warnings, and update log."
top crypto audit companies,I,https://coincu.com/knowledge/top-crypto-audit-companies/,medium,keep_and_expand,"Useful evergreen B2B-style query with clear informational value and stronger people-first utility than thin trend content.","Use a title that promises comparison criteria, specialties, and how to choose.","Keep H1 as a straightforward list/comparison resource.","Add evaluation framework, specialties by chain or app type, red flags, and why each company belongs on the list."
bruno mars net worth,I,https://coincu.com/bruno-mars-net-worth/,low,deprioritize_or_noindex,"Traffic exists but topical fit with a crypto news site is weak and can dilute site focus over time.","Do not expand or create spin-offs unless there is a real crypto angle.","If kept, the H1 should stay simple and not be further optimized.","Avoid investing more effort; reduce internal linking and consider noindex if generic net worth pages grow."
katie britt net worth,I,https://coincu.com/crypto-millionaire/katie-britt-net-worth/,low,deprioritize_or_noindex,"Political figure with weak crypto relevance and low value for core audience.","Do not create additional pages in this pattern.","Do not spend editorial effort refining the H1 beyond maintenance.","If no crypto-policy angle exists, leave dormant or noindex."
martha stewart net worth 2024,I,https://coincu.com/crypto-millionaire/martha-stewart-net-worth/,low,deprioritize_or_noindex,"Generic celebrity net worth query does not strengthen Coincu's crypto topical authority.","Do not refresh into new years or adjacent variants.","Keep the H1 neutral if the page remains live.","Avoid updates and do not expand the cluster."
michael burry net worth,I,https://coincu.com/crypto-millionaire/michael-burry-net-worth/,medium,conditional_keep,"Can work only if positioned as a macro-investor page with meaningful crypto or digital-asset relevance; otherwise it is off-topic.","If retained, retitle around investor exposure, macro views, and market relevance rather than pure celebrity wealth.","Use the H1 to clarify the investor context.","Either deepen the macro-investor angle with evidence and linked crypto relevance, or consider noindex if it remains generic."
